,,법정동,비행불가능여부
0,강원도강릉시강동면,4215034021,0
1,강원도강릉시강문동,4215011300,0
2,강원도강릉시견소동,4215011500,0
3,강원도강릉시교동,4215011000,0
4,강원도강릉시구정면,4215033021,0
5,강원도강릉시금학동,4215010600,0
6,강원도강릉시난곡동,4215013600,0
7,강원도강릉시남문동,4215010200,0
8,강원도강릉시남항진동,4215013000,0
9,강원도강릉시내곡동,4215011600,0
10,강원도강릉시노암동,4215012100,0
11,강원도강릉시담산동,4215012000,0
12,강원도강릉시대전동,4215013400,0
13,강원도강릉시두산동,4215012700,0
14,강원도강릉시명주동,4215010300,0
15,강원도강릉시박월동,4215011900,0
16,강원도강릉시병산동,4215012900,0
17,강원도강릉시사천면,4215036021,0
18,강원도강릉시성남동,4215010800,0
19,강원도강릉시성내동,4215010400,0
20,강원도강릉시성산면,4215031021,0
21,강원도강릉시송정동,4215011400,0
22,강원도강릉시신석동,4215012400,0
23,강원도강릉시안현동,4215013800,0
24,강원도강릉시연곡면,4215037021,0
25,강원도강릉시옥계면,4215035021,0
26,강원도강릉시옥천동,4215010900,0
27,강원도강릉시왕산면,4215032021,0
28,강원도강릉시용강동,4215010700,0
29,강원도강릉시운산동,4215013900,0
30,강원도강릉시운정동,4215013500,0
31,강원도강릉시월호평동,4215012300,0
32,강원도강릉시유산동,4215012200,0
33,강원도강릉시유천동,4215013100,0
34,강원도강릉시임당동,4215010500,0
35,강원도강릉시입암동,4215012500,0
36,강원도강릉시장현동,4215011800,0
37,강원도강릉시저동,4215013700,0
38,강원도강릉시주문진읍,4215025021,0
39,강원도강릉시죽헌동,4215013300,0
40,강원도강릉시지변동,4215013200,0
41,강원도강릉시청량동,4215012600,0
42,강원도강릉시초당동,4215011200,0
43,강원도강릉시포남동,4215011100,0
44,강원도강릉시학동,4215012800,0
45,강원도강릉시홍제동,4215010100,0
46,강원도강릉시회산동,4215011700,0
47,강원도고성군간성읍,4282025021,0
48,강원도고성군거진읍,4282025333,0
49,강원도고성군수동면,4282034027,0
50,강원도고성군죽왕면,4282032021,0
51,강원도고성군토성면,4282033021,0
52,강원도고성군현내면,4282031021,0
53,강원도동해시괴란동,4217013200,0
54,강원도동해시구미동,4217011300,0
55,강원도동해시구호동,4217011500,0
56,강원도동해시귀운동,4217011900,0
57,강원도동해시나안동,4217010800,0
58,강원도동해시내동,4217012200,0
59,강원도동해시단봉동,4217011600,0
60,강원도동해시달방동,4217013600,0
61,강원도동해시대구동,4217012000,0
62,강원도동해시대진동,4217012800,0
63,강원도동해시동회동,4217010700,0
64,강원도동해시만우동,4217013300,0
65,강원도동해시망상동,4217012900,0
66,강원도동해시묵호진동,4217012300,0
67,강원도동해시발한동,4217011100,0
68,강원도동해시부곡동,4217011000,0
69,강원도동해시북평동,4217011200,0
70,강원도동해시비천동,4217013500,0
71,강원도동해시삼화동,4217012400,0
72,강원도동해시송정동,4217010300,0
73,강원도동해시쇄운동,4217010900,0
74,강원도동해시신흥동,4217013400,0
75,강원도동해시심곡동,4217013000,0
76,강원도동해시어달동,4217012700,0
77,강원도동해시용정동,4217010400,0
78,강원도동해시이기동,4217012500,0
79,강원도동해시이도동,4217011800,0
80,강원도동해시이로동,4217012600,0
81,강원도동해시지가동,4217011700,0
82,강원도동해시지흥동,4217010500,0
83,강원도동해시천곡동,4217010100,0
84,강원도동해시초구동,4217013100,0
85,강원도동해시추암동,4217011400,0
86,강원도동해시평릉동,4217010200,0
87,강원도동해시호현동,4217012100,0
88,강원도동해시효가동,4217010600,0
89,강원도삼척시가곡면,4223035023,1
90,강원도삼척시갈천동,4223010700,0
91,강원도삼척시건지동,4223011700,0
92,강원도삼척시교동,4223010600,0
93,강원도삼척시근덕면,4223031024,1
94,강원도삼척시근산동,4223012700,0
95,강원도삼척시남양동,4223012000,0
96,강원도삼척시노곡면,4223033027,1
97,강원도삼척시당저동,4223010500,0
98,강원도삼척시도경동,4223011400,0
99,강원도삼척시도계읍,4223025030,1
100,강원도삼척시등봉동,4223011300,0
101,강원도삼척시마달동,4223011000,0
102,강원도삼척시마평동,4223011500,0
103,강원도삼척시미로면,4223034023,0
104,강원도삼척시사직동,4223012100,0
105,강원도삼척시성남동,4223011900,0
106,강원도삼척시성내동,4223010100,0
107,강원도삼척시성북동,4223010200,0
108,강원도삼척시신기면,4223036021,1
109,강원도삼척시오분동,4223012200,0
110,강원도삼척시오사동,4223011600,0
111,강원도삼척시우지동,4223010900,0
112,강원도삼척시원당동,4223011800,0
113,강원도삼척시원덕읍,4223025326,1
114,강원도삼척시읍상동,4223010300,0
115,강원도삼척시읍중동,4223010400,0
116,강원도삼척시자원동,4223011100,0
117,강원도삼척시적노동,4223012300,0
118,강원도삼척시정상동,4223012500,0
119,강원도삼척시정하동,4223012600,0
120,강원도삼척시조비동,4223012400,0
121,강원도삼척시증산동,4223010800,0
122,강원도삼척시평전동,4223011200,0
123,강원도삼척시하장면,4223032024,1
124,강원도속초시교동,4221010600,0
125,강원도속초시금호동,4221010400,0
126,강원도속초시노학동,4221010700,0
127,강원도속초시대포동,4221011000,0
128,강원도속초시도문동,4221011100,0
129,강원도속초시동명동,4221010200,0
130,강원도속초시설악동,4221011200,0
131,강원도속초시영랑동,4221010100,0
132,강원도속초시장사동,4221011300,0
133,강원도속초시조양동,4221010800,0
134,강원도속초시중앙동,4221010300,0
135,강원도속초시청학동,4221010500,0
136,강원도속초시청호동,4221010900,0
137,강원도양구군국토정중앙면,4280031524,0
138,강원도양구군동면,4280032025,0
139,강원도양구군방산면,4280033021,0
140,강원도양구군양구읍,4280025021,0
141,강원도양구군해안면,4280034021,0
142,강원도양양군강현면,4283035036,0
143,강원도양양군서면,4283031029,1
144,강원도양양군손양면,4283032037,0
145,강원도양양군양양읍,4283025025,0
146,강원도양양군현남면,4283034021,0
147,강원도양양군현북면,4283033030,0
148,강원도영월군김삿갓면,4275032524,1
149,강원도영월군남면,4275034021,1
150,강원도영월군무릉도원면,4275038021,1
