시,군,동,코드,터미널유무
서울특별시,송파구,잠실동,1171010100,1
서울특별시,송파구,장지동,1171010900,1
서울특별시,강동구,성내동,1174010800,1
서울특별시,강남구,삼성동,1168010500,1
서울특별시,동작구,동작동,1159010600,1
서울특별시,서초구,서초동,1165010800,1
서울특별시,서초구,반포동,1165010700,1
서울특별시,노원구,상계동,1135010500,1
서울특별시,강남구,수서동,1168011500,1
서울특별시,서초구,양재동,1165010200,1
서울특별시,송파구,방이동,1171011100,1
서울특별시,송파구,방이동,1171011100,1
서울특별시,송파구,방이동,1171011100,1
서울특별시,중구,주교동,1114015200,1
서울특별시,중구,초동,1114015900,1
서울특별시,송파구,잠실동,1171010100,1
서울특별시,송파구,잠실동,1171010100,1
서울특별시,노원구,상계동,1135010500,1
서울특별시,도봉구,도봉동,1132010800,1
서울특별시,광진구,구의동,1121510300,1
서울특별시,서초구,방배동,1165010100,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,동작구,사당동,1159010700,1
서울특별시,중랑구,상봉동,1126010200,1
서울특별시,서초구,서초동,1165010800,1
서울특별시,은평구,대조동,1138010600,1
서울특별시,용산구,동자동,1117010700,1
서울특별시,용산구,동자동,1117010700,1
서울특별시,서초구,서초동,1165010800,1
서울특별시,송파구,가락동,1171010700,1
서울특별시,서초구,반포동,1165010700,1
서울특별시,서초구,반포동,1165010700,1
서울특별시,강남구,역삼동,1168010100,1
서울특별시,광진구,화양동,1121510700,1
서울특별시,강서구,공항동,1150010800,1
서울특별시,서초구,서초동,1165010800,1
서울특별시,강동구,길동,1174010500,1
서울특별시,강서구,방화동,1150010900,1
서울특별시,노원구,상계동,1135010500,1
부산광역시,강서구,화전동,2644011000,1
부산광역시,사하구,하단동,2638010300,1
부산광역시,동래구,온천동,2626010800,1
부산광역시,해운대구,우동,2635010500,1
부산광역시,기장군,일광면,2671031021,1
부산광역시,기장군,장안읍,2671025321,1
부산광역시,강서구,죽동동,2644010700,1
부산광역시,기장군,장안읍,2671025328,1
부산광역시,해운대구,재송동,2635010400,1
부산광역시,기장군,일광면,2671031031,1
부산광역시,동래구,온천동,2626010800,1
부산광역시,금정구,노포동,2641010200,1
부산광역시,금정구,노포동,2641010200,1
부산광역시,해운대구,우동,2635010500,1
부산광역시,해운대구,우동,2635010500,1
부산광역시,부산진구,부전동,2623010300,1
부산광역시,해운대구,재송동,2635010400,1
부산광역시,해운대구,송정동,2635010800,1
부산광역시,해운대구,송정동,2635010800,1
부산광역시,기장군,기장읍,2671025021,1
부산광역시,강서구,대저2동,2644010200,1
부산광역시,기장군,기장읍,2671025034,1
부산광역시,강서구,강동동,2644010300,1
부산광역시,동래구,복천동,2626010500,1
부산광역시,기장군,장안읍,2671025329,1
부산광역시,해운대구,우동,2635010500,1
부산광역시,해운대구,우동,2635010500,1
부산광역시,사하구,하단동,2638010300,1
부산광역시,금정구,노포동,2641010200,1
대구광역시,달서구,송현동,2729012200,1
대구광역시,달서구,송현동,2729012200,1
대구광역시,달서구,송현동,2729012200,1
대구광역시,수성구,매호동,2726011500,1
대구광역시,동구,용계동,2714011900,1
대전광역시,서구,월평동,3017011300,1
대구광역시,달성군,가창면,2771031023,1
대구광역시,달성군,현풍읍,2771026525,1
대구광역시,수성구,가천동,2726012600,1
경상북도,경산시,진량읍,4729025329,1
대구광역시,서구,비산동,2717010200,1
대구광역시,동구,신천동,2714010200,1
대구광역시,수성구,범물동,2726011300,1
대구광역시,남구,봉덕동,2720010200,1
대구광역시,남구,봉덕동,2720010200,1
대구광역시,남구,봉덕동,2720010200,1
대구광역시,남구,봉덕동,2720010200,1
대구광역시,북구,노원동3가,2723010900,1
대구광역시,북구,노원동3가,2723010900,1
인천광역시,계양구,작전동,2824510300,1
인천광역시,남동구,만수동,2820010300,1
인천광역시,부평구,산곡동,2823710300,1
인천광역시,미추홀구,용현동,2817710200,1
인천광역시,미추홀구,용현동,2817710200,1
인천광역시,미추홀구,용현동,2817710200,1
인천광역시,미추홀구,용현동,2817710200,1
인천광역시,미추홀구,용현동,2817710200,1
인천광역시,미추홀구,관교동,2817710600,1
인천광역시,중구,운서동,2811014700,1
인천광역시,중구,운서동,2811014700,1
인천광역시,연수구,송도동,2818510600,1
인천광역시,연수구,송도동,2818510600,1
인천광역시,연수구,송도동,2818510600,1
인천광역시,연수구,송도동,2818510600,1
인천광역시,연수구,송도동,2818510600,1
